Order	Score	Word	IsRandom	Ngrams
83	27.82	alessandra 	 	ss(4.11), dr(4.00), es(3.64), nd(3.39), sa(3.25), ra(2.72), al(2.57), le(2.36), an(1.78)
84	27.75	kingston   	 	gs(6.51), ng(4.67), ki(4.35), to(3.60), st(3.50), in(2.66), on(2.45)
85	27.69	zechariah  	 	ze(5.41), ec(5.13), ch(3.78), ah(3.19), ha(2.92), ia(2.49), ri(2.45), ar(2.33)
86	27.66	lawrence   	 	wr(6.51), aw(5.66), nc(4.18), ce(3.50), re(2.94), la(2.56), en(2.31)
87	27.66	theodore   	 	od(4.90), eo(4.67), do(4.03), he(3.80), or(3.68), th(3.64), re(2.94)
88	27.60	tiffany    	 	if(6.22), ff(5.82), fa(5.31), ny(4.67), ti(3.80), an(1.78)
89	27.51	broderick  	 	od(4.90), ck(4.32), ic(3.74), ro(3.36), br(3.12), de(3.01), er(2.62), ri(2.45)
90	27.51	giovanny   	 	ov(5.41), ny(4.67), gi(4.39), io(4.32), va(4.08), nn(2.87), an(1.78)
91	27.50	eduardo    	 	ua(6.00), du(5.82), rd(5.05), ed(4.28), do(4.03), ar(2.33)
92	27.46	griffin    	 	if(6.22), ff(5.82), fi(5.53), gr(4.78), in(2.66), ri(2.45)
93	27.41	jeffery    	 	ff(5.82), ef(5.66), fe(5.31), je(4.43), ry(3.57), er(2.62)
94	27.39	alexandra  	 	xa(5.53), ex(5.05), dr(4.00), nd(3.39), ra(2.72), al(2.57), le(2.36), an(1.78)
95	27.34	felicity   	 	fe(5.31), ty(4.78), ci(4.62), it(4.24), ic(3.74), li(2.36), el(2.29)
96	27.34	gilberto   	 	lb(5.53), rt(4.52), gi(4.39), be(3.60), to(3.60), il(3.07), er(2.62)
97	27.33	christina  	 	hr(5.66), ti(3.80), ch(3.78), st(3.50), is(2.99), in(2.66), na(2.48), ri(2.45)
98	27.23	vincenzo   	 	zo(5.53), nz(5.31), nc(4.18), vi(3.74), ce(3.50), in(2.66), en(2.31)
99	27.15	jennifer   	 	if(6.22), fe(5.31), je(4.43), ni(3.39), nn(2.87), er(2.62), en(2.31)
100	27.13	douglas    	 	gl(6.22), ou(5.53), ug(5.41), do(4.03), as(3.38), la(2.56)
101	27.10	demarcus   	 	cu(5.82), rc(5.21), us(4.18), em(3.97), de(3.01), ma(2.58), ar(2.33)
102	27.09	jeffrey    	 	ff(5.82), ef(5.66), fr(4.90), je(4.43), ey(3.33), re(2.94)
