Order	Score	Word	IsRandom	Ngrams
98	15.22	alfonso    	 	fo(4.45), lf(4.23), ns(3.27), so(1.81), al(0.79), on(0.68)
99	15.22	genevieve  	 	ev(5.31), ve(2.62), ge(2.31), vi(1.96), ne(1.30), ie(1.18), en(0.53)
100	15.17	elizabeth  	 	iz(3.64), za(2.34), et(2.22), ab(2.17), th(1.86), be(1.83), li(0.59), el(0.52)
101	15.15	juniper    	 	ip(3.89), un(3.35), pe(2.84), ju(2.62), ni(1.62), er(0.84)
102	15.14	deshawn    	 	wn(4.74), aw(3.89), sh(2.28), es(1.86), de(1.23), ha(1.14)
103	15.10	gregory    	 	go(4.04), eg(3.20), gr(3.00), or(1.90), ry(1.79), re(1.16)
104	15.08	giovanny   	 	ov(3.64), ny(2.89), gi(2.62), io(2.54), va(2.31), nn(1.09), an(0.00)
105	15.04	journey    	 	ou(3.76), rn(3.53), ur(2.84), jo(2.05), ey(1.56), ne(1.30)
106	15.02	sebastian  	 	eb(3.64), ba(3.44), ti(2.03), se(1.88), st(1.72), as(1.60), ia(0.71), an(0.00)
107	15.00	charleigh  	 	gh(3.06), ig(2.74), ei(2.66), rl(2.25), ch(2.01), ha(1.14), le(0.58), ar(0.55)
108	15.00	bodhi      	 	dh(5.14), bo(3.89), od(3.13), hi(2.84)
109	14.95	esmeralda  	 	sm(3.76), ld(3.27), me(2.05), es(1.86), da(1.43), ra(0.94), er(0.84), al(0.79)
110	14.94	atticus    	 	cu(4.04), tt(2.62), us(2.40), ti(2.03), ic(1.96), at(1.88)
111	14.93	malcolm    	 	lc(4.74), lm(4.45), co(2.15), ol(2.01), ma(0.80), al(0.79)
112	14.91	felicity   	 	fe(3.53), ty(3.00), ci(2.84), it(2.47), ic(1.96), li(0.59), el(0.52)
113	14.91	gilberto   	 	lb(3.76), rt(2.74), gi(2.62), be(1.83), to(1.83), il(1.29), er(0.84)
114	14.89	salvatore  	 	lv(3.53), va(2.31), or(1.90), at(1.88), to(1.83), sa(1.48), re(1.16), al(0.79)
115	14.81	phoebe     	 	eb(3.64), ho(3.27), oe(3.13), ph(2.94), be(1.83)
116	14.79	vincenzo   	 	zo(3.76), nz(3.53), nc(2.40), vi(1.96), ce(1.72), in(0.89), en(0.53)
117	14.78	joshua     	 	ua(4.23), hu(3.76), os(2.47), sh(2.28), jo(2.05)
118	14.72	jennifer   	 	if(4.45), fe(3.53), je(2.66), ni(1.62), nn(1.09), er(0.84), en(0.53)
119	14.66	demarcus   	 	cu(4.04), rc(3.44), us(2.40), em(2.20), de(1.23), ma(0.80), ar(0.55)
120	14.66	johnathan  	 	hn(3.89), oh(3.13), jo(2.05), at(1.88), th(1.86), ha(1.14), na(0.70), an(0.00)
121	14.61	stephanie  	 	ep(4.04), ph(2.94), te(1.96), st(1.72), ni(1.62), ie(1.18), ha(1.14), an(0.00)
